# time, z, OOP, MT, Pitch, u_ext_z, pos_x, pos_y, pos_z, pos_dot_x, pos_dot_y, pos_dot_z, pos_x, psi_y, psi_z, psi_dot_x, psi_dot_y, psi_dot_z, delta, delta_dot
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.202420e-02,-3.121872e+02,-9.522799e+01,1.186208e-04,0.000000e+00,1.121073e+00,3.525976e+00,2.186958e-01,9.341013e-04,2.049415e-04,-5.273142e-03,6.594758e-02,-8.269049e-02,1.249813e+00,-7.028227e-02,-6.425941e-02,-5.095891e-03,0.000000e+00,0.000000e+00
2.616667e-03,6.202036e-02,-3.121518e+02,-9.532834e+01,1.186208e-04,0.000000e+00,1.121075e+00,3.525976e+00,2.186823e-01,2.303824e-03,7.478766e-04,-1.540817e-02,6.577937e-02,-8.283595e-02,1.249801e+00,-1.868600e-01,-1.580945e-01,-1.350981e-02,0.000000e+00,0.000000e+00
3.925000e-03,6.201354e-02,-3.120940e+02,-9.553955e+01,1.186208e-04,0.000000e+00,1.121078e+00,3.525978e+00,2.186582e-01,2.109801e-03,1.343014e-03,-2.132978e-02,6.552514e-02,-8.305282e-02,1.249783e+00,-2.017674e-01,-1.734250e-01,-1.372460e-02,0.000000e+00,0.000000e+00
5.233333e-03,6.200518e-02,-3.120009e+02,-9.597630e+01,1.186208e-04,0.000000e+00,1.121080e+00,3.525980e+00,2.186287e-01,6.925697e-04,1.741649e-03,-2.375698e-02,6.530595e-02,-8.324113e-02,1.249769e+00,-1.333050e-01,-1.144404e-01,-6.911484e-03,0.000000e+00,0.000000e+00
6.541667e-03,6.199577e-02,-3.118444e+02,-9.664914e+01,1.186208e-04,0.000000e+00,1.121080e+00,3.525982e+00,2.185956e-01,-5.163760e-04,2.333773e-03,-2.695233e-02,6.518089e-02,-8.334827e-02,1.249764e+00,-5.787598e-02,-4.934877e-02,-2.129946e-03,0.000000e+00,0.000000e+00
7.850000e-03,6.198495e-02,-3.116475e+02,-9.738097e+01,1.186208e-04,0.000000e+00,1.121078e+00,3.525986e+00,2.185574e-01,-1.669140e-03,2.930875e-03,-3.138711e-02,6.513785e-02,-8.338119e-02,1.249763e+00,-7.904871e-03,-9.686836e-04,1.366735e-03,0.000000e+00,0.000000e+00
9.158333e-03,6.197227e-02,-3.114472e+02,-9.785994e+01,1.186208e-04,0.000000e+00,1.121075e+00,3.525990e+00,2.185127e-01,-3.009833e-03,3.603946e-03,-3.694581e-02,6.514671e-02,-8.336593e-02,1.249767e+00,2.143611e-02,2.429332e-02,4.689737e-03,0.000000e+00,0.000000e+00
1.046667e-02,6.195740e-02,-3.112363e+02,-9.778477e+01,1.186208e-04,0.000000e+00,1.121071e+00,3.525995e+00,2.184603e-01,-3.999678e-03,4.284299e-03,-4.321954e-02,6.518215e-02,-8.332118e-02,1.249774e+00,3.274977e-02,4.411806e-02,6.608674e-03,0.000000e+00,0.000000e+00
1.177500e-02,6.194037e-02,-3.110615e+02,-9.713035e+01,1.186208e-04,0.000000e+00,1.121065e+00,3.526001e+00,2.184002e-01,-4.524731e-03,4.786952e-03,-4.853894e-02,6.523835e-02,-8.325219e-02,1.249784e+00,5.316125e-02,6.134449e-02,8.342135e-03,0.000000e+00,0.000000e+00
